description,project,user,duration,start,end
#387 搜索列表后面的页数显示的客户都一样,投资者内评及适当性管理,Xiongsc,1500000,2017-08-22T14:46:46+08:00,2017-08-22T15:11:46+08:00
#387 搜索列表后面的页数显示的客户都一样,投资者内评及适当性管理,Xiongsc,1500000,2017-08-22T14:21:39+08:00,2017-08-22T14:46:39+08:00
#387 搜索列表后面的页数显示的客户都一样,投资者内评及适当性管理,Xiongsc,1500000,2017-08-22T13:56:19+08:00,2017-08-22T14:21:19+08:00
#323 数据仓库ETL流程优化,投资者内评及适当性管理,Dongshuai,443000,2017-08-22T11:59:47+08:00,2017-08-22T12:07:10+08:00
#323 数据仓库ETL流程优化,投资者内评及适当性管理,Dongshuai,270000,2017-08-22T11:55:16+08:00,2017-08-22T11:59:46+08:00
#323 数据仓库ETL流程优化,投资者内评及适当性管理,Dongshuai,689000,2017-08-22T11:11:20+08:00,2017-08-22T11:22:49+08:00
#387 搜索列表后面的页数显示的客户都一样,投资者内评及适当性管理,李刚,4245000,2017-08-22T10:10:50+08:00,2017-08-22T11:21:35+08:00
#396 toggl和taiga自动化集成,投资者内评及适当性管理,mark,877000,2017-08-22T10:03:01+08:00,2017-08-22T10:17:38+08:00
#400 建立证券营业部新老名称映射关系,投资者内评及适当性管理,Dongshuai,2970000,2017-08-22T09:23:01+08:00,2017-08-22T10:12:31+08:00
"#386 点击添加角色,输入50字符,管理用户显示有问题",投资者内评及适当性管理,Xiongsc,263000,2017-08-22T09:16:57+08:00,2017-08-22T09:21:20+08:00
#354 数据库自动化部署脚本,投资者内评及适当性管理,mark,139000,2017-08-21T19:12:48+08:00,2017-08-21T19:15:07+08:00
#400 建立证券营业部新老名称映射关系,投资者内评及适当性管理,Dongshuai,1793000,2017-08-21T18:55:20+08:00,2017-08-21T19:25:13+08:00
"#399 搜索框输入""H60133881""证件号搜索结果为0",投资者内评及适当性管理,Xiongsc,74000,2017-08-21T18:00:49+08:00,2017-08-21T18:02:03+08:00
"#399 搜索框输入""H60133881""证件号搜索结果为0",投资者内评及适当性管理,Xiongsc,1715000,2017-08-21T17:31:54+08:00,2017-08-21T18:00:29+08:00
#400 建立证券营业部新老名称映射关系,投资者内评及适当性管理,Dongshuai,6897000,2017-08-21T16:29:51+08:00,2017-08-21T18:24:48+08:00
#391 在开发环境检查6个存在于生产环境中INV_BASICINFO但不存在于SECURITY_EXCHANGE中的营业部,投资者内评及适当性管理,Dongshuai,423000,2017-08-21T16:20:44+08:00,2017-08-21T16:27:47+08:00
#395 适当性需求讨论 - 下一步计划,投资者内评及适当性管理,Chenzw,1500000,2017-08-21T15:43:01+08:00,2017-08-21T16:08:01+08:00
#395 适当性需求讨论 - 下一步计划,投资者内评及适当性管理,mark,10590000,2017-08-21T15:39:34+08:00,2017-08-21T18:36:04+08:00
#391 在开发环境检查6个存在于生产环境中INV_BASICINFO但不存在于SECURITY_EXCHANGE中的营业部,投资者内评及适当性管理,Dongshuai,2244000,2017-08-21T15:27:56+08:00,2017-08-21T16:05:20+08:00
#383 创建onetime脚本来抽取安信security_exchange数据,投资者内评及适当性管理,Dongshuai,427000,2017-08-21T15:19:28+08:00,2017-08-21T15:26:35+08:00
#396 toggl和taiga自动化集成,投资者内评及适当性管理,mark,1880000,2017-08-21T15:08:03+08:00,2017-08-21T15:39:23+08:00
#392 将生产部署中报错的proc修改后提交至git,投资者内评及适当性管理,Dongshuai,2263000,2017-08-21T14:14:32+08:00,2017-08-21T14:52:15+08:00
#392 将生产部署中报错的proc修改后提交至git,投资者内评及适当性管理,mark,874000,2017-08-21T14:13:53+08:00,2017-08-21T14:28:27+08:00
#391 在开发环境检查6个存在于生产环境中INV_BASICINFO但不存在于SECURITY_EXCHANGE中的营业部,投资者内评及适当性管理,mark,602000,2017-08-21T13:10:05+08:00,2017-08-21T13:20:07+08:00
#325 UX用户交互改进,投资者内评及适当性管理,Xiongsc,21832534,2017-08-21T11:28:02+08:00,2017-08-21T17:31:54+08:00
#390 解决SURVEY_ANS_LIST数据中 question_option字段数据问题,投资者内评及适当性管理,Dongshuai,6657000,2017-08-21T10:41:26+08:00,2017-08-21T12:32:23+08:00
#391 在开发环境检查6个存在于生产环境中INV_BASICINFO但不存在于SECURITY_EXCHANGE中的营业部,投资者内评及适当性管理,Dongshuai,1744000,2017-08-21T10:11:48+08:00,2017-08-21T10:40:52+08:00
#390 解决SURVEY_ANS_LIST数据中 question_option字段数据问题,投资者内评及适当性管理,Dongshuai,1712000,2017-08-21T09:43:13+08:00,2017-08-21T10:11:45+08:00
"#386 点击添加角色,输入50字符,管理用户显示有问题",投资者内评及适当性管理,Xiongsc,1328000,2017-08-18T17:35:26+08:00,2017-08-18T17:57:34+08:00
"#386 点击添加角色,输入50字符,管理用户显示有问题",投资者内评及适当性管理,Xiongsc,1500000,2017-08-18T17:10:22+08:00,2017-08-18T17:35:22+08:00
#358 检查安信通过dblink方式提供的stage table,投资者内评及适当性管理,mark,3512000,2017-08-18T16:27:29+08:00,2017-08-18T17:26:01+08:00
#387 搜索列表后面的页数显示的客户都一样,投资者内评及适当性管理,duanzhongliang,416000,2017-08-22T16:09:45+08:00,2017-08-22T16:16:41+08:00
"#399 搜索框输入""H60133881""证件号搜索结果为0",投资者内评及适当性管理,duanzhongliang,1293000,2017-08-22T15:47:58+08:00,2017-08-22T16:09:31+08:00
"#399 搜索框输入""H60133881""证件号搜索结果为0",投资者内评及适当性管理,duanzhongliang,179000,2017-08-21T18:21:32+08:00,2017-08-21T18:24:31+08:00
"#379 IE10;修改密码输入正确密码,点击提交,系统报oldpassword",投资者内评及适当性管理,duanzhongliang,372000,2017-08-21T16:44:36+08:00,2017-08-21T16:50:48+08:00
#348 搜索界面交互改进-全选/单选/自定义单选框,投资者内评及适当性管理,duanzhongliang,167000,2017-08-21T16:19:50+08:00,2017-08-21T16:22:37+08:00
"#399 搜索框输入""H60133881""证件号搜索结果为0",投资者内评及适当性管理,duanzhongliang,172000,2017-08-21T16:12:41+08:00,2017-08-21T16:15:33+08:00
#395 适当性需求讨论 - 下一步计划,投资者内评及适当性管理,Paniff,9666000,2017-08-21T15:44:37+08:00,2017-08-21T18:25:43+08:00
#360 管理控制台功能重构,投资者内评及适当性管理,duanzhongliang,2513000,2017-08-21T14:28:31+08:00,2017-08-21T15:10:24+08:00
#387 搜索列表后面的页数显示的客户都一样,投资者内评及适当性管理,duanzhongliang,112000,2017-08-21T11:16:02+08:00,2017-08-21T11:17:54+08:00
